,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
NC-505,1323,1163,1083,81.86%,971,352,0,59,539,775,9,86,9,971,851,839,86.41%,124,113,11,374,588,9,57,9,352,312,244,69.32%,48,165,187,0,29,0,0,0,0,.,0,0,0,0,0,0,560,560,560,100.00%,157,476,84,0,24,11,1248,1248,784,62.82%,119,372,876,0,476,0,733,321,321,276,85.98%,84,274,47,0,0,0
NC-506,294,239,187,63.61%,234,40,20,21,70,219,5,16,14,234,199,147,62.82%,0,0,12,44,190,0,0,9,40,40,40,100.00%,4,11,29,0,16,0,20,0,0,0.00%,5,15,0,5,0,5,26,26,26,100.00%,0,0,26,0,0,0,210,210,101,48.10%,13,45,165,0,109,0,101,16,16,0,0.00%,0,0,16,0,0,0
NC-507,748,698,541,72.33%,509,239,0,81,344,398,6,0,24,509,459,459,90.18%,0,105,27,193,310,6,0,6,239,239,82,34.31%,54,151,88,0,0,18,0,0,0,.,0,0,0,0,0,0,219,219,219,100.00%,51,187,32,0,22,0,565,565,565,100.00%,64,199,366,0,9,0,130,0,0,0,.,0,0,0,0,0,0
NC-509,229,170,106,46.29%,205,24,0,29,88,136,5,4,15,205,146,106,51.71%,10,27,22,71,129,5,4,5,24,24,0,0.00%,7,17,7,0,0,10,0,0,0,.,0,0,0,0,0,0,16,16,16,100.00%,7,16,0,0,1,0,140,140,140,100.00%,23,86,54,0,2,0,0,0,0,0,.,0,0,0,0,0,0
NC-511,132,126,126,95.45%,38,94,0,49,121,11,0,0,0,38,32,32,84.21%,0,0,8,33,5,0,0,0,94,94,94,100.00%,41,88,6,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,14,14,15,0,1,14,223,223,223,100.00%,21,76,147,0,190,0,22,0,0,0,.,0,0,0,0,0,0
NC-513,95,95,95,100.00%,43,52,0,9,27,68,0,0,0,43,43,43,100.00%,0,21,9,27,16,0,0,0,52,52,52,100.00%,0,0,52,0,0,0,0,0,0,.,0,0,0,0,0,0,2,2,0,0.00%,0,0,2,0,2,0,96,96,82,85.42%,9,36,60,0,14,0,82,0,0,0,.,0,0,0,0,0,0
NC-516,149,61,53,35.57%,112,37,0,21,69,80,0,0,0,112,57,24,21.43%,30,15,14,46,66,0,0,0,37,4,29,78.38%,7,23,14,0,0,0,0,0,0,.,0,0,0,0,0,0,20,14,20,100.00%,4,13,7,0,0,0,60,48,48,80.00%,6,27,33,0,0,0,4,0,0,0,.,0,0,0,0,0,0
ND-500,757,383,380,50.20%,563,178,16,73,268,479,10,36,36,563,316,313,55.60%,52,4,36,181,372,10,0,10,178,51,51,28.65%,37,87,91,0,20,26,16,16,16,100.00%,0,0,16,0,16,0,129,118,118,91.47%,11,34,95,0,90,0,743,719,347,46.70%,62,254,489,0,372,0,330,0,0,0,.,0,0,0,0,0,0
NE-500,768,679,614,79.95%,455,313,0,105,326,432,10,0,36,455,373,338,74.29%,0,0,51,158,291,6,0,6,313,306,276,88.18%,54,168,141,4,0,30,0,0,0,.,0,0,0,0,0,0,248,230,227,91.53%,52,169,79,0,56,37,141,141,141,100.00%,27,79,62,0,18,25,58,0,0,0,.,0,0,0,0,0,0
NE-501,1551,1465,1465,94.46%,1215,302,34,118,405,1138,8,77,34,1215,1129,1129,92.92%,0,84,90,326,881,8,0,10,302,302,302,100.00%,28,79,223,0,43,24,34,34,34,100.00%,0,0,34,0,34,0,456,456,456,100.00%,78,261,195,0,10,0,817,817,817,100.00%,86,210,607,0,347,0,809,196,196,26,13.27%,19,76,120,0,26,0
NE-502,445,355,355,79.78%,327,118,0,68,220,213,12,10,55,327,284,284,86.85%,0,50,39,138,177,12,10,12,118,71,71,60.17%,29,82,36,0,0,43,0,0,0,.,0,0,0,0,0,0,251,174,174,69.32%,69,211,40,0,33,8,302,302,302,100.00%,17,56,246,0,199,5,105,95,95,95,100.00%,9,27,68,0,0,0
NH-500,745,609,556,74.63%,643,102,0,139,455,286,4,0,29,643,507,465,72.32%,66,13,116,378,261,4,0,4,102,102,91,89.22%,23,77,25,0,0,25,0,0,0,.,0,0,0,0,0,0,181,171,171,94.48%,36,123,58,0,13,5,518,518,345,66.60%,83,254,264,0,173,0,123,0,0,0,.,0,0,0,0,0,0
NH-501,479,466,456,95.20%,267,208,4,79,220,255,4,41,31,267,254,254,95.13%,0,0,24,69,194,4,0,4,208,208,198,95.19%,55,151,57,0,41,27,4,4,4,100.00%,0,0,4,0,0,0,85,85,85,100.00%,17,61,24,0,1,0,315,315,216,68.57%,53,164,151,0,112,0,44,88,88,73,82.95%,19,56,32,0,0,0
NH-502,350,314,263,75.14%,129,216,5,75,212,138,0,65,0,129,117,66,51.16%,0,0,21,56,73,0,0,0,216,192,192,88.89%,54,156,60,0,65,0,5,5,5,100.00%,0,0,5,0,0,0,6,6,6,100.00%,1,4,2,0,0,0,272,272,193,70.96%,34,106,166,0,79,0,24,0,0,0,.,0,0,0,0,0,0
NJ-500,339,301,272,80.24%,265,74,0,16,61,278,0,45,40,265,227,227,85.66%,0,98,16,61,204,0,0,28,74,74,45,60.81%,0,0,74,0,45,12,0,0,0,.,0,0,0,0,0,0,1404,1404,1404,100.00%,615,666,738,0,6,2,184,184,124,67.39%,6,16,168,0,60,27,156,0,0,0,.,0,0,0,0,0,0
NJ-501,374,298,298,79.68%,156,218,0,54,176,182,16,8,40,156,120,120,76.92%,24,18,17,43,97,16,0,16,218,178,178,81.65%,37,133,85,0,8,24,0,0,0,.,0,0,0,0,0,0,72,72,72,100.00%,10,56,16,0,1,0,464,464,376,81.03%,58,168,296,0,93,7,162,0,0,0,.,0,0,0,0,0,0
NJ-502,278,251,251,90.29%,245,33,0,119,246,32,0,0,0,245,218,218,88.98%,44,227,100,219,26,0,0,0,33,33,33,100.00%,19,27,6,0,0,0,0,0,0,.,0,0,0,0,0,0,99,99,99,100.00%,19,22,77,0,11,0,256,256,147,57.42%,52,145,111,0,30,0,32,49,49,0,0.00%,17,47,2,0,0,0
NJ-503,796,662,642,80.65%,523,273,0,218,377,419,0,133,21,523,453,433,82.79%,0,172,198,288,235,0,0,0,273,209,209,76.56%,20,89,184,0,133,21,0,0,0,.,0,0,0,0,0,0,123,108,107,86.99%,33,78,45,0,33,7,1012,995,605,59.78%,188,364,648,0,324,58,544,82,82,68,82.93%,22,68,14,0,14,0
NJ-504,2402,2379,2186,91.01%,1759,643,0,860,1510,887,5,30,77,1759,1736,1543,87.72%,0,4,658,1064,695,0,30,58,643,643,643,100.00%,202,446,192,5,0,19,0,0,0,.,0,0,0,0,0,0,167,167,141,84.43%,21,24,143,0,10,8,1620,1620,1609,99.32%,720,1042,574,4,281,80,1058,11,11,11,100.00%,5,11,0,0,0,0
NJ-506,384,375,348,90.63%,339,45,0,53,142,242,0,0,2,339,330,305,89.97%,100,236,45,123,216,0,0,0,45,45,43,95.56%,8,19,26,0,0,2,0,0,0,.,0,0,0,0,0,0,293,293,293,100.00%,83,253,40,0,7,12,542,542,465,85.79%,56,154,388,0,115,3,312,13,13,13,100.00%,0,0,13,0,0,0
NJ-507,185,161,141,76.22%,160,25,0,35,104,76,5,0,5,160,136,136,85.00%,15,381,35,104,56,0,0,0,25,25,5,20.00%,0,0,20,5,0,5,0,0,0,.,0,0,0,0,0,0,105,105,91,86.67%,24,77,28,0,14,0,482,459,326,67.63%,78,216,266,0,143,6,265,124,124,99,79.84%,24,69,55,0,0,0
NJ-508,265,200,190,71.70%,109,156,0,55,175,90,0,0,9,109,64,64,58.72%,28,139,17,59,50,0,0,0,156,136,126,80.77%,38,116,40,0,0,9,0,0,0,.,0,0,0,0,0,0,65,39,28,43.08%,17,33,32,0,27,5,648,648,364,56.17%,168,389,259,0,84,0,378,0,0,0,.,0,0,0,0,0,0
NJ-509,284,226,226,79.58%,133,131,20,50,144,140,0,0,0,133,100,100,75.19%,0,92,25,77,56,0,0,0,131,106,106,80.92%,25,67,64,0,0,0,20,20,20,100.00%,0,0,20,0,0,0,34,30,30,88.24%,8,19,15,0,3,12,211,211,182,86.26%,15,48,163,0,29,0,106,61,61,61,100.00%,20,56,5,0,0,0
NJ-510,127,61,47,37.01%,67,60,0,30,87,40,0,0,24,67,40,26,38.81%,0,266,14,49,18,0,0,12,60,21,21,35.00%,16,38,22,0,0,12,0,0,0,.,0,0,0,0,0,0,25,25,25,100.00%,3,16,9,0,9,0,322,322,128,39.75%,68,232,90,0,37,0,87,0,0,0,.,0,0,0,0,0,0
NJ-511,418,322,248,59.33%,384,34,0,89,256,162,0,0,10,384,288,214,55.73%,0,137,85,232,152,0,0,0,34,34,34,100.00%,4,24,10,0,0,10,0,0,0,.,0,0,0,0,0,0,181,181,181,100.00%,67,98,83,0,42,0,558,558,511,91.58%,76,152,406,0,66,16,300,103,103,103,100.00%,0,0,103,0,0,0
NJ-512,61,54,29,47.54%,32,29,0,41,61,0,0,0,3,32,25,0,0.00%,0,0,26,32,0,0,0,3,29,29,29,100.00%,15,29,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
NJ-513,302,276,246,81.46%,104,198,0,41,101,185,16,95,47,104,89,70,67.31%,0,104,24,57,31,16,0,21,198,187,176,88.89%,17,44,154,0,95,26,0,0,0,.,0,0,0,0,0,0,27,27,27,100.00%,0,0,27,0,22,0,304,304,33,10.86%,27,69,235,0,222,0,11,0,0,0,.,0,0,0,0,0,0
NJ-514,398,359,359,90.20%,274,124,0,53,134,252,12,0,30,274,250,250,91.24%,0,104,40,102,160,12,0,12,124,109,109,87.90%,13,32,92,0,0,18,0,0,0,.,0,0,0,0,0,0,352,347,347,98.58%,206,304,48,0,9,21,435,435,371,85.29%,49,126,309,0,64,23,245,305,305,305,100.00%,79,205,100,0,0,0
NJ-515,290,244,240,82.76%,143,147,0,67,175,110,5,29,35,143,122,118,82.52%,14,140,25,66,72,5,9,7,147,122,122,82.99%,42,109,38,0,20,28,0,0,0,.,0,0,0,0,0,0,36,36,30,83.33%,3,8,28,0,7,3,403,403,403,100.00%,87,202,201,0,8,14,123,0,0,0,.,0,0,0,0,0,0
NJ-516,275,200,191,69.45%,124,151,0,69,161,114,0,75,0,124,78,78,62.90%,0,124,54,123,1,0,0,0,151,122,113,74.83%,15,38,113,0,75,0,0,0,0,.,0,0,0,0,0,0,225,225,225,100.00%,60,181,44,0,20,0,123,123,74,60.16%,12,27,96,0,49,0,80,0,0,0,.,0,0,0,0,0,0
NM-500,1154,1079,890,77.12%,693,461,0,130,519,568,67,80,89,693,618,529,76.33%,22,170,27,202,443,48,32,48,461,461,361,78.31%,103,317,125,19,48,41,0,0,0,.,0,0,0,0,0,0,457,327,327,71.55%,116,402,55,0,44,0,1255,1255,929,74.02%,178,462,793,0,200,0,1003,116,116,116,100.00%,29,116,0,0,0,0
NM-501,1225,770,251,20.49%,1025,200,0,171,603,578,44,7,74,1025,630,167,16.29%,163,6,136,476,511,38,7,38,200,140,84,42.00%,35,127,67,6,0,36,0,0,0,.,0,0,0,0,0,0,363,239,237,65.29%,79,272,91,0,29,59,815,815,480,58.90%,191,424,391,0,190,0,335,0,0,0,.,0,0,0,0,0,0
NV-500,2275,2173,2173,95.52%,1563,687,25,109,350,1909,16,387,209,1563,1461,1461,93.47%,335,233,95,320,1233,10,70,117,687,687,687,100.00%,14,30,651,6,317,92,25,25,25,100.00%,0,0,25,0,0,0,1006,923,923,91.75%,207,710,296,0,172,116,2284,2284,915,40.06%,193,579,1705,0,1485,1,1140,33,33,33,100.00%,0,0,33,0,27,6
NV-501,705,580,475,67.38%,382,323,0,68,211,479,15,106,66,382,325,307,80.37%,50,150,42,146,221,15,0,15,323,255,168,52.01%,26,65,258,0,106,51,0,0,0,.,0,0,0,0,0,0,70,49,49,70.00%,7,24,46,0,39,8,508,508,508,100.00%,28,97,411,0,261,4,78,0,0,0,.,0,0,0,0,0,0
NV-502,173,105,98,56.65%,138,35,0,29,99,74,0,0,0,138,70,63,45.65%,0,0,24,84,54,0,0,0,35,35,35,100.00%,5,15,20,0,0,0,0,0,0,.,0,0,0,0,0,0,39,39,39,100.00%,4,14,25,0,17,2,155,155,123,79.35%,16,52,103,0,100,0,24,17,17,17,100.00%,3,10,7,0,0,0
NY-500,748,699,638,85.29%,575,161,12,103,290,454,4,56,50,575,526,473,82.26%,59,10,88,260,315,0,0,27,161,161,153,95.03%,15,30,127,4,56,23,12,12,12,100.00%,0,0,12,0,0,0,438,425,438,100.00%,79,272,166,0,2,57,1298,1298,1298,100.00%,184,503,795,0,214,0,395,9,9,9,100.00%,1,2,7,0,0,0
NY-501,136,67,44,32.35%,76,60,0,26,79,57,0,1,0,76,33,21,27.63%,0,156,12,33,43,0,0,0,60,34,23,38.33%,14,46,14,0,1,0,0,0,0,.,0,0,0,0,0,0,272,229,217,79.78%,51,172,100,0,12,0,219,193,101,46.12%,23,65,154,0,0,0,31,0,0,0,.,0,0,0,0,0,0
NY-503,469,439,237,50.53%,298,167,4,44,105,359,5,37,17,298,268,153,51.34%,46,304,31,87,211,0,0,0,167,167,80,47.90%,13,18,144,5,33,17,4,4,4,100.00%,0,0,4,0,4,0,272,209,209,76.84%,59,160,112,0,57,6,865,865,865,100.00%,118,344,521,0,137,1,224,0,0,0,.,0,0,0,0,0,0
NY-505,775,694,676,87.23%,595,180,0,74,216,538,21,33,48,595,528,510,85.71%,8,10,51,154,420,21,7,31,180,166,166,92.22%,23,62,118,0,26,17,0,0,0,.,0,0,0,0,0,0,700,700,693,99.00%,150,451,243,6,8,82,1234,1234,1069,86.63%,119,312,922,0,198,6,279,168,162,162,96.43%,28,82,86,0,0,0
NY-507,220,201,183,83.18%,170,50,0,20,52,166,2,3,14,170,151,133,78.24%,24,190,11,26,142,2,3,14,50,50,50,100.00%,9,26,24,0,0,0,0,0,0,.,0,0,0,0,0,0,176,176,175,99.43%,35,116,60,0,1,0,523,523,501,95.79%,69,225,298,0,22,0,75,0,0,0,.,0,0,0,0,0,0
NY-508,909,775,718,78.99%,656,253,0,158,403,474,32,52,43,656,588,537,81.86%,115,0,115,296,335,25,18,25,253,187,181,71.54%,43,107,139,7,34,18,0,0,0,.,0,0,0,0,0,0,465,465,465,100.00%,107,353,112,0,4,11,1225,1225,1225,100.00%,32,77,1148,0,343,0,371,40,40,40,100.00%,0,0,40,0,15,0
NY-510,52,43,43,82.69%,29,23,0,2,4,48,0,1,15,29,20,20,68.97%,16,40,2,4,25,0,1,1,23,23,23,100.00%,0,0,23,0,0,14,0,0,0,.,0,0,0,0,0,0,42,42,42,100.00%,13,32,10,0,2,1,113,113,113,100.00%,19,47,66,0,9,29,19,28,28,0,0.00%,0,0,28,0,3,0
NY-511,330,304,284,86.06%,256,74,0,32,90,240,0,4,15,256,230,210,82.03%,0,7,28,82,174,0,0,4,74,74,74,100.00%,4,8,66,0,4,11,0,0,0,.,0,0,0,0,0,0,110,110,110,100.00%,23,68,42,0,0,0,361,361,351,97.23%,62,128,233,0,18,0,67,0,0,0,.,0,0,0,0,0,0
NY-512,162,100,98,60.49%,117,45,0,37,92,70,0,0,0,117,75,75,64.10%,15,58,21,55,62,0,0,0,45,25,23,51.11%,16,37,8,0,0,0,0,0,0,.,0,0,0,0,0,0,152,123,112,73.68%,31,129,23,0,1,0,643,493,493,76.67%,107,362,281,0,18,0,262,0,0,0,.,0,0,0,0,0,0
NY-513,297,292,292,98.32%,183,114,0,24,67,230,0,17,3,183,178,178,97.27%,0,0,19,54,129,0,0,2,114,114,114,100.00%,5,13,101,0,17,1,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,101,101,101,100.00%,17,56,45,0,23,0,0,0,0,0,.,0,0,0,0,0,0
NY-514,125,113,113,90.40%,85,40,0,18,49,52,24,3,24,85,73,73,85.88%,0,0,9,24,49,12,3,12,40,40,40,100.00%,9,25,3,12,0,12,0,0,0,.,0,0,0,0,0,0,41,41,41,100.00%,6,16,25,0,2,0,91,91,91,100.00%,24,53,38,0,0,0,0,0,0,0,.,0,0,0,0,0,0
NY-518,221,169,116,52.49%,159,62,0,43,105,116,0,10,7,159,131,84,52.83%,0,0,21,57,102,0,0,0,62,38,32,51.61%,22,48,14,0,10,7,0,0,0,.,0,0,0,0,0,0,118,75,75,63.56%,27,97,21,0,4,0,511,511,511,100.00%,59,156,355,0,62,0,41,11,11,11,100.00%,0,0,11,0,11,0
NY-519,36,0,0,0.00%,24,12,0,8,27,9,0,0,0,24,0,0,0.00%,0,145,5,16,8,0,0,0,12,0,0,0.00%,3,11,1,0,0,0,0,0,0,.,0,0,0,0,0,0,19,19,0,0.00%,2,7,12,0,0,0,50,44,42,84.00%,10,28,22,0,5,0,26,0,0,0,.,0,0,0,0,0,0
NY-520,14,14,14,100.00%,4,10,0,3,8,6,0,0,0,4,4,4,100.00%,0,29,1,2,2,0,0,0,10,10,10,100.00%,2,6,4,0,0,0,0,0,0,.,0,0,0,0,0,0,5,5,0,0.00%,0,0,5,0,5,0,33,33,33,100.00%,5,16,17,0,18,0,2,0,0,0,.,0,0,0,0,0,0
NY-522,34,17,17,50.00%,17,17,0,5,18,16,0,1,0,17,0,0,0.00%,0,20,3,13,4,0,0,0,17,17,17,100.00%,2,5,12,0,1,0,0,0,0,.,0,0,0,0,0,0,59,59,59,100.00%,9,29,30,0,0,0,446,446,391,87.67%,91,264,182,0,55,0,28,0,0,0,.,0,0,0,0,0,0
NY-523,108,90,80,74.07%,85,23,0,11,28,70,10,18,26,85,67,57,67.06%,79,131,6,18,57,10,5,16,23,23,23,100.00%,5,10,13,0,13,10,0,0,0,.,0,0,0,0,0,0,72,32,32,44.44%,19,55,17,0,2,28,277,267,249,89.89%,31,102,175,0,107,0,61,0,0,0,.,0,0,0,0,0,0
NY-525,213,147,147,69.01%,138,75,0,22,67,140,6,0,10,138,72,72,52.17%,11,283,21,65,67,6,0,6,75,75,75,100.00%,1,2,73,0,0,4,0,0,0,.,0,0,0,0,0,0,100,100,100,100.00%,15,50,50,0,14,0,190,190,190,100.00%,32,82,108,0,45,0,3,0,0,0,.,0,0,0,0,0,0
NY-600,77527,74034,65338,84.28%,74107,3380,40,14077,44048,33469,10,353,1153,74107,70707,64559,87.12%,0,422,14024,43922,30183,2,158,405,3380,3287,779,23.05%,53,126,3246,8,155,748,40,40,0,0.00%,0,0,40,0,40,0,659,615,615,93.32%,109,293,366,0,213,141,34119,33586,13418,39.33%,2626,7318,26762,39,5358,924,21994,0,0,0,.,0,0,0,0,0,0
NY-601,608,530,530,87.17%,432,176,0,105,327,269,12,0,14,432,396,396,91.67%,0,17,81,253,167,12,0,14,176,134,134,76.14%,24,74,102,0,0,0,0,0,0,.,0,0,0,0,0,0,28,28,28,100.00%,0,0,28,0,0,0,256,256,226,88.28%,23,66,190,0,52,25,40,0,0,0,.,0,0,0,0,0,0
NY-602,289,272,241,83.39%,235,54,0,51,130,146,13,0,79,235,218,187,79.57%,49,202,35,86,136,13,0,49,54,54,54,100.00%,16,44,10,0,0,30,0,0,0,.,0,0,0,0,0,0,29,29,22,75.86%,5,11,16,2,0,3,313,297,268,85.62%,54,133,180,0,67,69,294,0,0,0,.,0,0,0,0,0,0
NY-603,3766,3694,3567,94.72%,3552,188,26,771,2673,1056,37,105,86,3552,3493,3366,94.76%,0,0,754,2610,915,27,29,71,188,175,175,93.09%,17,63,115,10,50,15,26,26,26,100.00%,0,0,26,0,26,0,404,372,372,92.08%,106,350,54,0,29,0,2246,2242,2179,97.02%,379,1217,1029,0,876,5,1343,0,0,0,.,0,0,0,0,0,0
NY-604,1720,1679,1681,97.73%,1047,673,0,412,1214,492,14,23,40,1047,1008,1008,96.28%,46,98,207,599,434,14,11,14,673,671,673,100.00%,205,615,58,0,12,26,0,0,0,.,0,0,0,0,0,0,285,285,285,100.00%,83,250,35,0,8,10,1504,1504,1318,87.63%,178,454,1050,0,373,64,0,2820,2820,2775,98.40%,643,2388,432,0,0,0
NY-606,94,81,81,86.17%,44,50,0,13,39,55,0,0,0,44,31,31,70.45%,54,4,13,39,5,0,0,0,50,50,50,100.00%,0,0,50,0,0,0,0,0,0,.,0,0,0,0,0,0,45,41,41,91.11%,16,39,6,0,0,0,83,83,75,90.36%,12,34,49,0,8,0,16,0,0,0,.,0,0,0,0,0,0
NY-608,102,85,85,83.33%,90,12,0,9,39,45,18,8,26,90,73,73,81.11%,25,304,9,39,37,14,8,14,12,12,12,100.00%,0,0,8,4,0,12,0,0,0,.,0,0,0,0,0,0,17,12,12,70.59%,6,17,0,0,0,0,135,135,135,100.00%,32,84,51,0,0,0,26,20,20,20,100.00%,6,20,0,0,0,0
OH-500,1151,999,992,86.19%,864,267,20,73,313,818,20,156,65,864,797,797,92.25%,56,127,42,222,622,20,12,56,267,182,175,65.54%,31,91,176,0,124,9,20,20,20,100.00%,0,0,20,0,20,0,1284,1217,1011,78.74%,240,905,379,0,75,122,1915,1915,1915,100.00%,259,827,1088,0,338,70,1576,0,0,0,.,0,0,0,0,0,0
OH-501,540,447,242,44.81%,439,101,0,100,275,253,12,2,12,439,390,219,49.89%,58,26,74,221,206,12,2,12,101,57,23,22.77%,26,54,47,0,0,0,0,0,0,.,0,0,0,0,0,0,404,404,404,100.00%,86,366,38,0,30,0,1292,1194,1030,79.72%,191,466,826,0,248,14,419,171,171,0,0.00%,22,42,129,0,0,0
OH-502,1442,1397,1204,83.50%,1297,105,40,103,383,1059,0,114,124,1297,1252,1059,81.65%,82,160,102,381,916,0,6,109,105,105,105,100.00%,1,2,103,0,88,15,40,40,40,100.00%,0,0,40,0,20,0,893,893,893,100.00%,201,615,278,0,139,20,5340,5340,4779,89.49%,655,2364,2976,0,676,97,1275,0,0,0,.,0,0,0,0,0,0
OH-503,1296,1092,1092,84.26%,1141,155,0,169,589,688,19,75,70,1141,1021,1021,89.48%,55,289,143,507,618,16,39,16,155,71,71,45.81%,26,82,70,3,36,54,0,0,0,.,0,0,0,0,0,0,637,611,637,100.00%,133,484,153,0,46,57,2737,2737,2716,99.23%,190,606,2131,0,519,0,2257,0,0,0,.,0,0,0,0,0,0
OH-504,184,160,24,13.04%,173,11,0,34,111,73,0,0,10,173,149,13,7.51%,0,0,31,102,71,0,0,10,11,11,11,100.00%,3,9,2,0,0,0,0,0,0,.,0,0,0,0,0,0,147,147,147,100.00%,34,102,45,0,2,0,496,496,496,100.00%,100,345,151,0,0,0,150,4,4,4,100.00%,2,4,0,0,4,0
OH-505,525,467,467,88.95%,410,115,0,47,133,384,8,52,98,410,352,352,85.85%,60,0,39,117,285,8,12,36,115,115,115,100.00%,8,16,99,0,40,62,0,0,0,.,0,0,0,0,0,0,303,243,243,80.20%,68,210,93,0,13,46,1422,1422,1168,82.14%,161,492,930,0,219,0,524,0,0,0,.,0,0,0,0,0,0
OH-506,495,359,359,72.53%,286,187,22,45,136,337,22,48,35,286,218,218,76.22%,0,15,34,96,174,16,6,16,187,119,119,63.64%,11,40,141,6,30,19,22,22,22,100.00%,0,0,22,0,12,0,195,126,126,64.62%,41,136,59,0,11,9,701,701,620,88.45%,79,227,474,0,89,12,374,0,0,0,.,0,0,0,0,0,0
OH-507,3326,2434,1923,57.82%,2476,840,10,582,1748,1573,5,111,43,2476,1754,1324,53.47%,97,40,387,1216,1255,5,35,5,840,670,589,70.12%,195,532,308,0,76,38,10,10,10,100.00%,0,0,10,0,0,0,2006,2001,2001,99.75%,410,1224,782,0,211,148,3658,3613,2881,78.76%,604,1666,1992,0,786,41,2693,20,20,20,100.00%,0,0,20,0,20,0
OH-508,294,192,192,65.31%,271,23,0,73,191,103,0,0,0,271,192,192,70.85%,0,17,66,169,102,0,0,0,23,0,0,0.00%,7,22,1,0,0,0,0,0,0,.,0,0,0,0,0,0,200,200,200,100.00%,48,156,44,0,4,0,563,563,494,87.74%,53,149,414,0,62,10,405,14,14,14,100.00%,1,2,12,0,0,0
OK-500,201,145,98,48.76%,127,74,0,28,72,117,12,0,33,127,71,43,33.86%,58,41,19,41,74,12,0,12,74,74,55,74.32%,9,31,43,0,0,21,0,0,0,.,0,0,0,0,0,0,48,20,20,41.67%,16,39,9,0,0,2,18,18,10,55.56%,6,8,10,0,8,0,2,0,0,0,.,0,0,0,0,0,0
OK-501,831,686,674,81.11%,541,265,25,99,268,558,5,36,58,541,436,424,78.37%,0,72,70,183,353,5,0,5,265,225,225,84.91%,29,85,180,0,36,53,25,25,25,100.00%,0,0,25,0,0,0,181,181,181,100.00%,54,124,57,0,53,7,589,589,311,52.80%,15,56,533,0,278,8,303,0,0,0,.,0,0,0,0,0,0
OK-502,1172,1036,836,71.33%,992,180,0,81,333,833,6,45,35,992,856,737,74.29%,0,218,50,247,742,3,10,21,180,180,99,55.00%,31,86,91,3,35,14,0,0,0,.,0,0,0,0,0,0,136,136,136,100.00%,24,91,45,0,47,0,880,880,604,68.64%,40,144,736,0,288,0,378,0,0,0,.,0,0,0,0,0,0
OK-503,129,87,14,10.85%,115,14,0,7,50,79,0,4,5,115,73,0,0.00%,0,4,6,46,69,0,4,0,14,14,14,100.00%,1,4,10,0,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,59,59,59,100.00%,25,39,20,0,5,11,59,0,0,0,.,0,0,0,0,0,0
OK-504,121,102,90,74.38%,59,62,0,16,40,78,3,28,3,59,40,40,67.80%,66,4,6,20,36,3,28,3,62,62,50,80.65%,10,20,42,0,0,0,0,0,0,.,0,0,0,0,0,0,22,22,22,100.00%,10,22,0,0,0,0,116,116,98,84.48%,15,38,78,0,18,28,0,0,0,0,.,0,0,0,0,0,0
OK-505,13,13,1,7.69%,12,1,0,0,0,1,12,0,12,12,12,0,0.00%,0,0,0,0,0,12,0,12,1,1,1,100.00%,0,0,1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,31,31,0,0.00%,4,12,19,0,31,0,0,0,0,0,.,0,0,0,0,0,0
OK-506,252,158,108,42.86%,214,38,0,16,196,56,0,0,12,214,120,70,32.71%,0,12,6,162,52,0,0,12,38,38,38,100.00%,10,34,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,11,11,11,100.00%,0,0,11,0,0,0,0,0,0,0,.,0,0,0,0,0,0
OK-507,382,241,44,11.52%,380,2,0,43,124,235,23,19,23,380,239,44,11.58%,0,54,42,122,235,23,19,23,2,2,0,0.00%,1,2,0,0,0,0,0,0,0,.,0,0,0,0,0,0,122,122,113,92.62%,19,61,61,0,64,0,155,155,43,27.74%,24,79,76,0,112,0,6,0,0,0,.,0,0,0,0,0,0
OR-500,636,617,617,97.01%,509,127,0,66,199,418,19,29,31,509,490,490,96.27%,0,0,45,136,361,12,5,12,127,127,127,100.00%,21,63,57,7,24,19,0,0,0,.,0,0,0,0,0,0,194,191,191,98.45%,41,134,60,0,22,18,697,697,697,100.00%,65,196,501,0,325,25,248,0,0,0,.,0,0,0,0,0,0
OR-501,2424,2313,2087,86.10%,1678,746,0,134,423,1997,4,222,152,1678,1567,1341,79.92%,0,0,117,379,1299,0,110,68,746,746,746,100.00%,17,44,698,4,112,84,0,0,0,.,0,0,0,0,0,0,2291,2026,1757,76.69%,550,1789,494,8,97,189,4947,4873,4207,85.04%,519,1734,3213,0,804,67,2181,0,0,0,.,0,0,0,0,0,0
